COG20_FUNCTION,enrichment_score,unadjusted_p_value,adjusted_q_value,associated_groups,accession,gene_clusters_ids,p_Other,p_Sourdough,N_Other,N_Sourdough
GTP-binding protein EngB required for normal cell division (EngB) (PDB:5UCV),0,1,1,NA,COG0218,GC_00000447,1,1,32,29
"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB (EnvC)",0,1,1,NA,COG4942,"GC_00001427, GC_00004531, GC_00007043, GC_00010189, GC_00010190, GC_00010191, GC_00011202",1,1,32,29
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30),0,1,1,NA,COG0505,GC_00000603,1,1,32,29
Glutamate N-acetyltransferase (ornithine transacetylase) (ArgJ) (PDB:1VRA),0,1,1,NA,COG1364,GC_00000198,1,1,32,29
NADP-dependent 3-hydroxy acid dehydrogenase YdfG (YdfG) (PDB:3P19),0,1,1,NA,COG4221,"GC_00000115, GC_00002175, GC_00002362, GC_00002406, GC_00003097, GC_00003237, GC_00006206, GC_00006270, GC_00006760, GC_00007271, GC_00008186, GC_00009620, GC_00009830",1,1,32,29
"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)",0,1,1,NA,COG0592,GC_00000144,1,1,32,29
Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78),0,1,1,NA,COG0285,GC_00000635,1,1,32,29
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X),0,1,1,NA,COG0493,"GC_00000184, GC_00002137",1,1,32,29
N-acetylglutamate kinase (ArgB) (PDB:3S6G),0,1,1,NA,COG0548,GC_00000415,1,1,32,29
"ABC-type lipopolysaccharide export system, ATPase component (LptB) (PDB:5L75) (PUBMED:12029038)",0,1,1,NA,COG1137,"GC_00000406, GC_00007086",1,1,32,29
Bacterioferritin (cytochrome b1) (Bfr) (PDB:4E6K),0,1,1,NA,COG2193,"GC_00000905, GC_00001930",1,1,32,29
Transcription antitermination protein NusB (NusB) (PDB:1EY1) (PUBMED:21652641),0,1,1,NA,COG0781,"GC_00001209, GC_00003525",1,1,32,29
"Predicted lipid-binding transport protein, Tim44 family (Tim44) (PDB:2CW9)",0,1,1,NA,COG4395,"GC_00001128, GC_00001338, GC_00003883, GC_00004172, GC_00008748",1,1,32,29
"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)",0,1,1,NA,COG4638,"GC_00000006, GC_00001821, GC_00003292, GC_00005384, GC_00007252, GC_00007542, GC_00009130, GC_00009731, GC_00011120",1,1,32,29
"Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)!!!Methionine synthase I, cobalamin-binding domain (MetH2) (PDB:4DJD)",0,1,1,NA,COG0646!!!COG1410,GC_00000733,1,1,32,29
Uncharacterized conserved protein involved in copper resistance (PcoB),0,1,1,NA,COG3667,GC_00000041,1,1,32,29
Orotate phosphoribosyltransferase (PyrE) (PDB:4WML),0,1,1,NA,COG0461,GC_00000333,1,1,32,29
"NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)",0,1,1,NA,COG1252,"GC_00000025, GC_00004129",1,1,32,29
"ABC-type Fe3+-hydroxamate transport system, periplasmic component (FepB) (PDB:1ESZ)",0,1,1,NA,COG0614,"GC_00001487, GC_00003169, GC_00003590, GC_00003611, GC_00004013, GC_00004574, GC_00005975, GC_00007125, GC_00007999, GC_00008262, GC_00010001",1,1,32,29
Cytochrome c1 (CYT1),0,1,1,NA,COG2857,"GC_00001423, GC_00001520, GC_00002408, GC_00004228, GC_00005531",1,1,32,29
Small-conductance mechanosensitive channel MscK (MscK),0,1,1,NA,COG3264,"GC_00001519, GC_00001580, GC_00004749, GC_00008210, GC_00010201",1,1,32,29
Translation initiation factor IF-3 (InfC) (PDB:2IFE),0,1,1,NA,COG0290,GC_00000252,1,1,32,29
UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42),0,1,1,NA,COG0774,"GC_00001287, GC_00004540, GC_00008738",1,1,32,29
"Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)",0,1,1,NA,COG0483,"GC_00000462, GC_00000776, GC_00000955, GC_00011019, GC_00011607",1,1,32,29
Anthranilate/para-aminobenzoate synthases component I (TrpE) (PDB:1I1Q),0,1,1,NA,COG0147,"GC_00000210, GC_00001390, GC_00005722, GC_00005952",1,1,32,29
"Chitooligosaccharide deacetylase ChbG, YdjC/CelG family (ChbG) (PDB:2I5I) (PUBMED:18177738;22797760)",0,1,1,NA,COG3394,GC_00000567,1,1,32,29
Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport (ApaG) (PDB:1TZA),0,1,1,NA,COG2967,GC_00000356,1,1,32,29
Outer membrane porin OmpC/OmpF/PhoE (OmpC) (PDB:1PHO),0,1,1,NA,COG3203,GC_00000189,1,1,32,29
Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX),0,1,1,NA,COG0632,GC_00000528,1,1,32,29
"Predicted dioxygenase, 2-oxoglutarate and Fe-dependent (2OG-Fe) dioxygenase superfamily (PDB:3PL0)",0,1,1,NA,COG4340,GC_00000494,1,1,32,29
"ABC-type lipoprotein export system, ATPase component (LolD) (PDB:5GKO)",0,1,1,NA,COG1136,"GC_00000848, GC_00001120, GC_00003887, GC_00004428",1,1,32,29
"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II (GloB) (PDB:1QH3) (PUBMED:25670698)",0,1,1,NA,COG0491,"GC_00000126, GC_00000162, GC_00000825, GC_00002530, GC_00008109, GC_00008621, GC_00008868, GC_00009632, GC_00010955, GC_00011469",1,1,32,29
"Translation elongation factor EF-4, membrane-bound GTPase (LepA) (PDB:3DEG)",0,1,1,NA,COG0481,GC_00000400,1,1,32,29
Argininosuccinate lyase (ArgH) (PDB:1AOS),0,1,1,NA,COG0165,GC_00000621,1,1,32,29
Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040),0,1,1,NA,COG0342,GC_00000428,1,1,32,29
"Preprotein translocase subunit SecA (ATPase, RNA helicase) (SecA) (PDB:2FSF)",0,1,1,NA,COG0653,GC_00000163,1,1,32,29
Ribonuclease HII (RnhB) (PDB:1EKE),0,1,1,NA,COG0164,GC_00000476,1,1,32,29
Leucyl aminopeptidase (PepB) (PDB:3H8E) (PUBMED:19553197;23825549),0,1,1,NA,COG0260,"GC_00000589, GC_00001233, GC_00004040",1,1,32,29
Protein chain release factor RF1 (PrfA) (PDB:1RQ0),0,1,1,NA,COG0216,GC_00000548,1,1,32,29
"Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family (NifS) (PDB:4IXO) (PUBMED:22773787;25825430)",0,1,1,NA,COG1104,"GC_00000717, GC_00001181, GC_00004000, GC_00010440",1,1,32,29
4-diphosphocytidyl-2C-methyl-D-erythritol kinase (IspE) (PDB:1OJ4),0,1,1,NA,COG1947,"GC_00001144, GC_00003522",1,1,32,29
Glutamine phosphoribosylpyrophosphate amidotransferase (PurF) (PDB:1ECB),0,1,1,NA,COG0034,GC_00000350,1,1,32,29
"DNA-binding transcriptional regulator, ArsR family (ArsR) (PDB:3F6V)",0,1,1,NA,COG0640,"GC_00000951, GC_00001045, GC_00001275, GC_00003766, GC_00004773, GC_00005534, GC_00006086, GC_00007364, GC_00007958, GC_00009185, GC_00009627",1,1,32,29
"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)!!!Extracellular substrate-binding protein",0,1,1,NA,COG1116!!!COG4754,GC_00000452,1,1,32,29
Ribosomal protein L30/L7E (RpmD) (PDB:1VS6),0,1,1,NA,COG1841,GC_00000247,1,1,32,29
DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661),0,1,1,NA,COG3391,"GC_00000534, GC_00001729, GC_00005647, GC_00008473",1,1,32,29
Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528),0,1,1,NA,COG0343,GC_00000651,1,1,32,29
Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase) (PabA) (PDB:1I1Q),0,1,1,NA,COG0512,GC_00000490,1,1,32,29
"Endolytic transglycosylase MltG, terminates peptidoglycan polymerization (MltG) (PDB:2R1F) (PUBMED:26507882)",0,1,1,NA,COG1559,"GC_00001156, GC_00004278",1,1,32,29
"Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC (EbsC) (PDB:1DBU)",0,1,1,NA,COG2606,"GC_00000937, GC_00003726, GC_00005388, GC_00005472, GC_00009585",1,1,32,29
Ornithine carbamoyltransferase (ArgF) (PDB:1A1S),0,1,1,NA,COG0078,GC_00000696,1,1,32,29
"Uncharacterized conserved protein, DUF934 family",0,1,1,NA,COG3749,"GC_00001133, GC_00004143",1,1,32,29
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY),0,1,1,NA,COG0161,"GC_00000699, GC_00001925, GC_00003594, GC_00007121, GC_00011719",1,1,32,29
Glutamine synthetase (GlnA) (PDB:1F1H),0,1,1,NA,COG0174,"GC_00000256, GC_00006868, GC_00007583, GC_00009817",1,1,32,29
Malonyl CoA-acyl carrier protein transacylase (FabD) (PDB:1YXC),0,1,1,NA,COG0331,"GC_00000592, GC_00008389, GC_00011362",1,1,32,29
Periplasmic glucan biosynthesis protein OpgG (MdoG) (PDB:1TXK),0,1,1,NA,COG3131,GC_00000411,1,1,32,29
"Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)",0,1,1,NA,COG0612,"GC_00000739, GC_00000805, GC_00008367",1,1,32,29
DNA topoisomerase IA (TopA) (PDB:1CY0)!!!Uncharacterized C-terminal domain of topoisomerase IA,0,1,1,NA,COG0550!!!COG1754,GC_00000703,1,1,32,29
Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla (MlaA) (PDB:5NUQ),0,1,1,NA,COG2853,GC_00000434,1,1,32,29
DNA-binding nucleoid-associated protein YbaB/EfbC (YbaB) (PDB:1J8B) (PUBMED:19594923;22544270),0,1,1,NA,COG0718,GC_00000364,1,1,32,29
Predicted acyltransferase (OpgC),0,1,1,NA,COG4645,"GC_00001145, GC_00004470",1,1,32,29
Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929),0,1,1,NA,COG0341,GC_00000414,1,1,32,29
tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0),0,1,1,NA,COG0566,"GC_00000675, GC_00008406",1,1,32,29
Ribosomal protein L25 (general stress protein Ctc) (RplY) (PDB:1B75),0,1,1,NA,COG1825,GC_00000388,1,1,32,29
"Transcription antitermination factor NusA, contains S1 and KH domains (NusA) (PDB:1HH2)",0,1,1,NA,COG0195,GC_00000379,1,1,32,29
Signal peptidase I (LepB) (PDB:1B12) (PUBMED:1925027),0,1,1,NA,COG0681,"GC_00000544, GC_00004027",1,1,32,29
Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E),0,1,1,NA,COG0845,"GC_00000090, GC_00000616, GC_00000915, GC_00001572, GC_00001950, GC_00002096, GC_00002460, GC_00002817, GC_00002857, GC_00003045, GC_00004073, GC_00004123, GC_00004633, GC_00004977, GC_00004991, GC_00005014, GC_00005892, GC_00006005, GC_00006072, GC_00006084, GC_00006452, GC_00006775, GC_00007132, GC_00007368, GC_00007882, GC_00008491, GC_00008574, GC_00009391, GC_00009773, GC_00010483",1,1,32,29
Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid (FhuE) (PDB:3EFM),0,1,1,NA,COG4773,"GC_00000049, GC_00000895, GC_00001777, GC_00001829, GC_00002004, GC_00002529, GC_00003138, GC_00003623, GC_00004452, GC_00004809, GC_00005009, GC_00005357, GC_00005616, GC_00006441, GC_00006590, GC_00006799, GC_00006804, GC_00007370, GC_00007371, GC_00007424, GC_00008882, GC_00010622, GC_00011064",1,1,32,29
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579),0,1,1,NA,COG0476,"GC_00000595, GC_00008555",1,1,32,29
"Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits (RsfS) (PDB:6SJ6)",0,1,1,NA,COG0799,GC_00000372,1,1,32,29
"Acetolactate synthase, small subunit (IlvH) (PDB:2F1F)",0,1,1,NA,COG0440,GC_00000324,1,1,32,29
"tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain (MnmA) (PDB:2HMA) (PUBMED:25825430)",0,1,1,NA,COG0482,GC_00000596,1,1,32,29
"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",0,1,1,NA,COG0265,"GC_00000188, GC_00000615, GC_00001151, GC_00003526, GC_00003600, GC_00004440, GC_00006609, GC_00006909, GC_00009466",1,1,32,29
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54),0,1,1,NA,COG4992,"GC_00000728, GC_00008173",1,1,32,29
Mg2+ and Co2+ transporter CorA (CorA) (PDB:2BBH),0,1,1,NA,COG0598,"GC_00000290, GC_00001021, GC_00004128",1,1,32,29
"Uncharacterized conserved protein, DUF1009 family (PDB:4GGM)",0,1,1,NA,COG3494,GC_00000517,1,1,32,29
tRNA A37 threonylcarbamoyltransferase TsaD (TsaD) (PDB:3ENO) (PUBMED:23072323;21285948;32385138),0,1,1,NA,COG0533,GC_00000207,1,1,32,29
tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE (MnmE),0,1,1,NA,COG0486,GC_00000714,1,1,32,29
Nitroreductase (NfnB) (PDB:1F5V),0,1,1,NA,COG0778,"GC_00000380, GC_00000707, GC_00001335, GC_00001880, GC_00001904, GC_00002340, GC_00004504, GC_00008544, GC_00011447",1,1,32,29
tmRNA-binding protein (SmpB) (PDB:1J1H) (PUBMED:26251518),0,1,1,NA,COG0691,GC_00000310,1,1,32,29
16S rRNA U1498 N3-methylase RsmE (RsmE) (PDB:1NXZ),0,1,1,NA,COG1385,"GC_00001242, GC_00003533",1,1,32,29
Adenylosuccinate synthase (PurA) (PDB:1ADE),0,1,1,NA,COG0104,GC_00000153,1,1,32,29
Ribosomal protein L2 (RplB) (PDB:1VS6),0,1,1,NA,COG0090,GC_00000255,1,1,32,29
Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V),0,1,1,NA,COG1217,GC_00000373,1,1,32,29
"Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase (PlsY) (PDB:5XJ5) (PUBMED:29684280)",0,1,1,NA,COG0344,GC_00000513,1,1,32,29
Phosphate uptake regulator PhoU (PhoU) (PDB:1T8B),0,1,1,NA,COG0704,GC_00000131,1,1,32,29
"FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter (AtpZ) (PUBMED:12917488;23123906)",0,1,1,NA,COG5336,"GC_00001077, GC_00003938",1,1,32,29
DNA modification methylase (YhdJ) (PDB:1BOO),0,1,1,NA,COG0863,"GC_00000323, GC_00000329, GC_00002654, GC_00002744",1,1,32,29
UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase (Rfe) (PDB:4J72),0,1,1,NA,COG0472,"GC_00000275, GC_00001621, GC_00004157, GC_00008418, GC_00008871, GC_00010656",1,1,32,29
CBS domain (CBS) (PDB:1B3O)!!!D-arabinose 5-phosphate isomerase GutQ (GutQ) (PDB:5UQI),0,1,1,NA,COG0517!!!COG0794,GC_00000507,1,1,32,29
"Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters (YgfZ) (PDB:1NRK) (PUBMED:27941785;22081392)",0,1,1,NA,COG0354,"GC_00001175, GC_00004646",1,1,32,29
"Uncharacterized protein STM3548, contains class I glutamine amidotransferase domain (PDB:2GK3) (PUBMED:17968677)",0,1,1,NA,COG5426,"GC_00001139, GC_00004016, GC_00010359",1,1,32,29
Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM),0,1,1,NA,COG0509,GC_00000338,1,1,32,29
Enolase (Eno) (PDB:1E9I),0,1,1,NA,COG0148,GC_00000150,1,1,32,29
Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG),0,1,1,NA,COG0841,"GC_00000011, GC_00000059, GC_00000085, GC_00000850, GC_00001619, GC_00002079, GC_00003554, GC_00004176, GC_00004790, GC_00004972, GC_00005019, GC_00007239, GC_00008390, GC_00008589, GC_00011033",1,1,32,29
"Glycyl-tRNA synthetase, beta subunit (GlyS)",0,1,1,NA,COG0751,GC_00000726,1,1,32,29
"Predicted DNA-binding protein, contains ribbon-helix-helix (RHH) domain (PDB:3KK4)",0,1,1,NA,COG4321,"GC_00001456, GC_00002656, GC_00004133",1,1,32,29
Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O),0,1,1,NA,COG0556,GC_00000554,1,1,32,29
"ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)",0,1,1,NA,COG1051,"GC_00000866, GC_00001301, GC_00001547, GC_00001801, GC_00002603, GC_00003002, GC_00003372, GC_00004930, GC_00007306",1,1,32,29
Biopolymer transport protein ExbD (ExbD) (PDB:2JWK),0,1,1,NA,COG0848,"GC_00000040, GC_00000048, GC_00000277, GC_00000908",1,1,32,29
Nucleoside diphosphate kinase (Ndk) (PDB:1B4S),0,1,1,NA,COG0105,GC_00000234,1,1,32,29
Cytidylate kinase (Cmk) (PDB:3R20) (PUBMED:19111750;25691594;28928205),0,1,1,NA,COG0283,GC_00000325,1,1,32,29
"5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)",0,1,1,NA,COG0235,"GC_00000588, GC_00001837, GC_00003328, GC_00005845, GC_00007897, GC_00008070, GC_00008293, GC_00009477, GC_00011061",1,1,32,29
"ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components (CydD)",0,1,1,NA,COG4988,"GC_00001163, GC_00001601, GC_00004174, GC_00009115",1,1,32,29
"Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)!!!Cytochrome c553 (CytC553) (PDB:6Q2U)",0,1,1,NA,COG2010!!!COG2863,GC_00000536,1,1,32,29
"3,4-dihydroxy-2-butanone 4-phosphate synthase (RibB) (PDB:1G57)!!!GTP cyclohydrolase II (RibA) (PDB:2BZ0)",0,1,1,NA,COG0108!!!COG0807,GC_00000710,1,1,32,29
Thiamine monophosphate kinase (ThiL) (PDB:5CC8),0,1,1,NA,COG0611,"GC_00001160, GC_00004303",1,1,32,29
Permease subunit MlaE of the ABC-type intermembrane phospholipid transporter Mla (MlaE) (PDB:6IC4),0,1,1,NA,COG0767,"GC_00000262, GC_00000368, GC_00000637",1,1,32,29
Protein chain release factor PrfB (PrfB) (PDB:1GQE),0,1,1,NA,COG1186,"GC_00000417, GC_00001007",1,1,32,29
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (UbiH) (PDB:1BF3),0,1,1,NA,COG0654,"GC_00000831, GC_00001057, GC_00002829, GC_00003397, GC_00003646, GC_00004315, GC_00004689, GC_00005456, GC_00007080, GC_00008086",1,1,32,29
ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401),0,1,1,NA,COG1058,GC_00000655,1,1,32,29
Ribosomal protein L14 (RplN) (PDB:4V4H),0,1,1,NA,COG0093,GC_00000221,1,1,32,29
Valyl-tRNA synthetase (ValS) (PDB:1GAX),0,1,1,NA,COG0525,GC_00000709,1,1,32,29
"PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA (ArnT) (PDB:5EZM) (PUBMED:16226890;31233657;32706435)",0,1,1,NA,COG1807,"GC_00000658, GC_00001564, GC_00004061, GC_00004899, GC_00005437, GC_00006427, GC_00006733, GC_00007250, GC_00007646, GC_00009522, GC_00009609, GC_00011501",1,1,32,29
UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK),0,1,1,NA,COG0770,GC_00000745,1,1,32,29
TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha (AcoA) (PDB:1DTW),0,1,1,NA,COG1071,"GC_00000109, GC_00001085",1,1,32,29
Ribosomal protein S3 (RpsC) (PDB:1VS6),0,1,1,NA,COG0092,GC_00000259,1,1,32,29
Phosphatidylserine decarboxylase (Psd) (PDB:6L06),0,1,1,NA,COG0688,GC_00000523,1,1,32,29
"DNA-directed RNA polymerase, beta subunit/140 kD subunit (RpoB) (PDB:5UAJ)",0,1,1,NA,COG0085,GC_00000535,1,1,32,29
Glutamate or tyrosine decarboxylase or a related PLP-dependent protein (GadA) (PDB:1XEY),0,1,1,NA,COG0076,"GC_00000723, GC_00002008, GC_00004417, GC_00004737, GC_00005338, GC_00007773, GC_00009510",1,1,32,29
S-adenosylmethionine synthetase (MetK) (PDB:1FUG),0,1,1,NA,COG0192,GC_00000361,1,1,32,29
tRNA A37 N6-isopentenylltransferase MiaA (MiaA) (PDB:2ZM5),0,1,1,NA,COG0324,GC_00000623,1,1,32,29
"MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity (MraZ) (PDB:1N0E)",0,1,1,NA,COG2001,GC_00000472,1,1,32,29
"ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2)",0,1,1,NA,COG0466,"GC_00000508, GC_00005621, GC_00007209",1,1,32,29
CMP-2-keto-3-deoxyoctulosonic acid synthetase (KdsB) (PDB:1VH1),0,1,1,NA,COG1212,GC_00000204,1,1,32,29
"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase (FolD) (PDB:1A4I)",0,1,1,NA,COG0190,GC_00000071,1,1,32,29
"Thymidylate synthase ThyX, FAD-dependent family (ThyX) (PDB:1KQ4)",0,1,1,NA,COG1351,GC_00000135,1,1,32,29
Glycerol-3-phosphate dehydrogenase (GpsA) (PDB:1EVY),0,1,1,NA,COG0240,"GC_00001051, GC_00004059",1,1,32,29
"ABC-type phosphate transport system, periplasmic component (PstS) (PDB:2Q9T)",0,1,1,NA,COG0226,"GC_00000013, GC_00005100",1,1,32,29
Guanylate kinase (Gmk) (PDB:1EX6),0,1,1,NA,COG0194,GC_00000525,1,1,32,29
"3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains (SseA) (PDB:1BOH)",0,1,1,NA,COG2897,"GC_00001254, GC_00001993, GC_00004042, GC_00006555, GC_00010327, GC_00010920",1,1,32,29
"Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)",0,1,1,NA,COG0599,"GC_00001066, GC_00003704, GC_00003756, GC_00009363",1,1,32,29
Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271),0,1,1,NA,COG0404,"GC_00000405, GC_00007215",1,1,32,29
UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N),0,1,1,NA,COG0766,GC_00000465,1,1,32,29
Ribosomal protein S11 (RpsK) (PDB:4V4H),0,1,1,NA,COG0100,GC_00000226,1,1,32,29
NADPH:quinone reductase or related Zn-dependent oxidoreductase (Qor) (PDB:2VCY),0,1,1,NA,COG0604,"GC_00000957, GC_00001171, GC_00001804, GC_00001813, GC_00004372, GC_00005026, GC_00005217, GC_00006939, GC_00007066, GC_00007481, GC_00008357, GC_00008441, GC_00010147, GC_00010653",1,1,32,29
Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ),0,1,1,NA,COG0441,GC_00000056,1,1,32,29
Cysteine synthase (CysK) (PDB:1FCJ),0,1,1,NA,COG0031,"GC_00000360, GC_00000660",1,1,32,29
Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI),0,1,1,NA,COG0150,GC_00000662,1,1,32,29
Alpha/beta superfamily hydrolase (PDB:2FUK),0,1,1,NA,COG2945,GC_00000250,1,1,32,29
Biotin carboxyl carrier protein (AccB) (PDB:1A6X),0,1,1,NA,COG0511,"GC_00000450, GC_00002248, GC_00002753, GC_00007581, GC_00007938, GC_00008386, GC_00009997, GC_00010121, GC_00010501, GC_00010560, GC_00011505",1,1,32,29
Cytochrome b subunit of the bc complex (QcrB/PetB) (PDB:1VF5),0,1,1,NA,COG1290,"GC_00000954, GC_00001283",1,1,32,29
Gamma-glutamylcysteine synthetase (Gsh2) (PDB:2GWD),0,1,1,NA,COG3572,GC_00000569,1,1,32,29
16S rRNA C1402 (ribose-2'-O) methylase RsmI (RsmI) (PDB:3KWP) (PUBMED:24078611),0,1,1,NA,COG0313,GC_00000575,1,1,32,29
Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO),0,1,1,NA,COG0151,GC_00000688,1,1,32,29
Cytochrome c biogenesis protein CcmF (CcmF),0,1,1,NA,COG1138,GC_00000550,1,1,32,29
"Uncharacterized conserved membrane protein, UPF0127 family (PDB:3M7A)",0,1,1,NA,COG1430,GC_00000165,1,1,32,29
Ribonuclease D (Rnd) (PDB:5C0Y) (PUBMED:18821773),0,1,1,NA,COG0349,"GC_00000298, GC_00000876",1,1,32,29
1-acyl-sn-glycerol-3-phosphate acyltransferase (PlsC) (PDB:1IUQ),0,1,1,NA,COG0204,"GC_00000612, GC_00001088, GC_00001657, GC_00003723",1,1,32,29
Tryptophan synthase beta chain (TrpB) (PDB:2DH5),0,1,1,NA,COG0133,GC_00000500,1,1,32,29
Ribosomal protein S1 (RpsA) (PDB:4NNH),0,1,1,NA,COG0539,GC_00000390,1,1,32,29
"FoF1-type ATP synthase, membrane subunit a (AtpB) (PUBMED:22931285)",0,1,1,NA,COG0356,"GC_00000267, GC_00003517",1,1,32,29
"Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily (LON/PUA) (PDB:1ZBO)",0,1,1,NA,COG2802,"GC_00001081, GC_00003824",1,1,32,29
16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT),0,1,1,NA,COG0742,"GC_00001620, GC_00004259, GC_00004260",1,1,32,29
"DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)",0,1,1,NA,COG0847,"GC_00000470, GC_00001570, GC_00002704, GC_00003342, GC_00007947, GC_00009361, GC_00010876",1,1,32,29
"Uncharacterized membrane protein YqaA, VTT domain (YgaA)",0,1,1,NA,COG1238,GC_00000526,1,1,32,29
Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla (MlaC) (PDB:2QGU) (PUBMED:19383799),0,1,1,NA,COG2854,"GC_00001037, GC_00001475, GC_00003856, GC_00003867, GC_00007765, GC_00009490",1,1,32,29
Tellurite resistance membrane protein TerC (TerC),0,1,1,NA,COG0861,GC_00000532,1,1,32,29
"Small neutral amino acid transporter SnatA, MarC family (MarC) (PUBMED:17954692;12761179)",0,1,1,NA,COG2095,"GC_00000293, GC_00011029",1,1,32,29
"Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)!!!Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain (GcvP2) (PDB:4LGL)",0,1,1,NA,COG0403!!!COG1003,GC_00000217,1,1,32,29
Ferredoxin (Fdx) (PDB:1KRH),0,1,1,NA,COG0633,"GC_00000241, GC_00007398",1,1,32,29
